,model,superposition_ratio,masking_ratio,log_likelihood
210,slm_full_150epochs,0.5,0.0,0.0
211,slm_full_150epochs,0.5,0.05,-0.002311377553269267
212,slm_full_150epochs,0.5,0.1,-0.00527507858350873
213,slm_full_150epochs,0.5,0.15000000000000002,-0.009539913386106491
214,slm_full_150epochs,0.5,0.2,-0.01663706824183464
215,slm_full_150epochs,0.5,0.25,-0.025136755779385567
216,slm_full_150epochs,0.5,0.30000000000000004,-0.03264999017119408
217,slm_full_150epochs,0.5,0.35000000000000003,-0.04623541608452797
218,slm_full_150epochs,0.5,0.4,-0.06607875227928162
219,slm_full_150epochs,0.5,0.45,-0.087885782122612
220,slm_full_150epochs,0.5,0.5,-0.11790509521961212
221,slm_full_150epochs,0.5,0.55,-0.1548469513654709
222,slm_full_150epochs,0.5,0.6000000000000001,-0.19176681339740753
223,slm_full_150epochs,0.5,0.65,-0.24310196936130524
224,slm_full_150epochs,0.5,0.7000000000000001,-0.2990920841693878
225,slm_full_150epochs,0.5,0.75,-0.3841593861579895
226,slm_full_150epochs,0.5,0.8,-0.4830160140991211
227,slm_full_150epochs,0.5,0.8500000000000001,-0.6218761801719666
228,slm_full_150epochs,0.5,0.9,-0.7889201641082764
229,slm_full_150epochs,0.5,0.9500000000000001,-0.959514319896698
230,slm_full_150epochs,0.5,1.0,-1.6149801015853882
231,slm_full_150epochs,0.9,0.0,0.0
232,slm_full_150epochs,0.9,0.05,-0.000566193601116538
233,slm_full_150epochs,0.9,0.1,-0.0014833830064162612
234,slm_full_150epochs,0.9,0.15000000000000002,-0.0026491291355341673
235,slm_full_150epochs,0.9,0.2,-0.005409186705946922
236,slm_full_150epochs,0.9,0.25,-0.00815480574965477
237,slm_full_150epochs,0.9,0.30000000000000004,-0.010661463253200054
238,slm_full_150epochs,0.9,0.35000000000000003,-0.015526119619607925
239,slm_full_150epochs,0.9,0.4,-0.022470954805612564
240,slm_full_150epochs,0.9,0.45,-0.03128156065940857
241,slm_full_150epochs,0.9,0.5,-0.04488654434680939
242,slm_full_150epochs,0.9,0.55,-0.06097617745399475
243,slm_full_150epochs,0.9,0.6000000000000001,-0.07888466864824295
244,slm_full_150epochs,0.9,0.65,-0.11458874493837357
245,slm_full_150epochs,0.9,0.7000000000000001,-0.14448772370815277
246,slm_full_150epochs,0.9,0.75,-0.20962393283843994
247,slm_full_150epochs,0.9,0.8,-0.28432220220565796
248,slm_full_150epochs,0.9,0.8500000000000001,-0.3911122977733612
249,slm_full_150epochs,0.9,0.9,-0.5523883700370789
250,slm_full_150epochs,0.9,0.9500000000000001,-0.8133236765861511
251,slm_full_150epochs,0.9,1.0,-1.1874918937683105
