,model,superposition_ratio,masking_ratio,log_likelihood
184,slm_sparse_100epochs,0.75,0.8,-167158.96875
185,slm_sparse_100epochs,0.75,0.8500000000000001,-174207.96875
186,slm_sparse_100epochs,0.75,0.9,-183979.5625
187,slm_sparse_100epochs,0.75,0.9500000000000001,-195811.03125
188,slm_sparse_100epochs,0.75,1.0,-441734.875
189,slm_sparse_100epochs,1.0,0.0,-441734.875
190,slm_sparse_100epochs,1.0,0.05,-441734.875
191,slm_sparse_100epochs,1.0,0.1,-441734.875
192,slm_sparse_100epochs,1.0,0.15000000000000002,-441734.875
193,slm_sparse_100epochs,1.0,0.2,-441734.875
194,slm_sparse_100epochs,1.0,0.25,-441734.875
195,slm_sparse_100epochs,1.0,0.30000000000000004,-441734.875
196,slm_sparse_100epochs,1.0,0.35000000000000003,-441734.875
197,slm_sparse_100epochs,1.0,0.4,-441734.875
198,slm_sparse_100epochs,1.0,0.45,-441734.875
199,slm_sparse_100epochs,1.0,0.5,-441734.875
200,slm_sparse_100epochs,1.0,0.55,-441734.875
201,slm_sparse_100epochs,1.0,0.6000000000000001,-441734.875
202,slm_sparse_100epochs,1.0,0.65,-441734.875
203,slm_sparse_100epochs,1.0,0.7000000000000001,-441734.875
204,slm_sparse_100epochs,1.0,0.75,-441734.875
205,slm_sparse_100epochs,1.0,0.8,-441734.875
206,slm_sparse_100epochs,1.0,0.8500000000000001,-441734.875
207,slm_sparse_100epochs,1.0,0.9,-441734.875
208,slm_sparse_100epochs,1.0,0.9500000000000001,-441734.875
209,slm_sparse_100epochs,1.0,1.0,-441734.875
210,slm_sparse_150epochs,0.0,0.0,0.0
211,slm_sparse_150epochs,0.0,0.05,-335.43023681640625
212,slm_sparse_150epochs,0.0,0.1,-846.6363525390625
213,slm_sparse_150epochs,0.0,0.15000000000000002,-1426.69482421875
214,slm_sparse_150epochs,0.0,0.2,-2318.7197265625
215,slm_sparse_150epochs,0.0,0.25,-3555.7080078125
216,slm_sparse_150epochs,0.0,0.30000000000000004,-5073.9794921875
217,slm_sparse_150epochs,0.0,0.35000000000000003,-6969.5556640625
218,slm_sparse_150epochs,0.0,0.4,-9709.984375
219,slm_sparse_150epochs,0.0,0.45,-12567.7783203125
220,slm_sparse_150epochs,0.0,0.5,-15446.5078125
221,slm_sparse_150epochs,0.0,0.55,-19582.814453125
222,slm_sparse_150epochs,0.0,0.6000000000000001,-24316.19140625
223,slm_sparse_150epochs,0.0,0.65,-30661.93359375
224,slm_sparse_150epochs,0.0,0.7000000000000001,-37717.17578125
225,slm_sparse_150epochs,0.0,0.75,-45979.0
226,slm_sparse_150epochs,0.0,0.8,-57242.44140625
227,slm_sparse_150epochs,0.0,0.8500000000000001,-72729.75
228,slm_sparse_150epochs,0.0,0.9,-90268.28125
229,slm_sparse_150epochs,0.0,0.9500000000000001,-119384.625
230,slm_sparse_150epochs,0.0,1.0,-488586.8125
231,slm_sparse_150epochs,0.25,0.0,-32399.720703125
232,slm_sparse_150epochs,0.25,0.05,-34090.8046875
233,slm_sparse_150epochs,0.25,0.1,-36349.0703125
234,slm_sparse_150epochs,0.25,0.15000000000000002,-38134.66796875
235,slm_sparse_150epochs,0.25,0.2,-40166.140625
